objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Rengsanggri_Tura_First_Trip_Back_Note.jpg,,,"Rengsanggri, Tura, note",Robbins Burling,~1996-1997,"Note indicating the photography collection is dated to late 1996/early 1997 and is Burling's first trip back to Rengsanggri, Tura",Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,Rengsanggri_Tura_First_Trip_Back_3.jpg,,,"Rengsanggri, Tura, Image 1",Robbins Burling,~1996-1997,Photo of outside of Government of Meghalaya District Auditorium & Library,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll003,Rengsanggri_Tura_First_Trip_Back_4.jpg,,,"Rengsanggri, Tura, Image 2",Robbins Burling,~1996-1997,Photo of stream with person squatting on right side,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll004,Rengsanggri_Tura_First_Trip_Back_6.jpg,,,"Rengsanggri, Tura, Image 3",Robbins Burling,~1996-1997,Photo of bed with turquoise blankets and mosquito net over top ,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll005,Rengsanggri_Tura_First_Trip_Back_7.jpg,,,"Rengsanggri, Tura, Image 4",Robbins Burling,~1996-1997,Photo of second bed with blue blanket and map of India on wall,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll006,Rengsanggri_Tura_First_Trip_Back_9.jpg,,,"Rengsanggri, Tura, Image 5",Robbins Burling,~1996-1997,Photo of range of small trees,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll007,Rengsanggri_Tura_First_Trip_Back_10.jpg,,,"Rengsanggri, Tura, Image 6",Robbins Burling,~1996-1997,Photo of small hill,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll008,Rengsanggri_Tura_First_Trip_Back_12.jpg,,,"Rengsanggri, Tura, Image 7",Robbins Burling,~1996-1997,Photo from behind of woman carrying child carrying pots and pans in basket on back,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll009,Rengsanggri_Tura_First_Trip_Back_23.jpg,,,"Rengsanggri, Tura, Image 8",Robbins Burling,~1996-1997,Photo of ditch outside of small settlement,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll010,Rengsanggri_Tura_First_Trip_Back_24.jpg,,,"Rengsanggri, Tura, Image 9",Robbins Burling,~1996-1997,Photo of path of rocks outside of settlement,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll011,Rengsanggri_Tura_First_Trip_Back_25.jpg,,,"Rengsanggri, Tura, Image 10",Robbins Burling,~1996-1997,Photo of settlement and clotheslines taken from high up,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll012,Rengsanggri_Tura_First_Trip_Back_26.jpg,,,"Rengsanggri, Tura, Image 11",Robbins Burling,~1996-1997,"Photo of exterior of ""Institute of Computer Education, Tura"" building",Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll013,Rengsanggri_Tura_First_Trip_Back_27.jpg,,,"Rengsanggri, Tura, Image 12",Robbins Burling,~1996-1997,"Photo of exterior of large house, cars parked to right and people walking on left",Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll014,Rengsanggri_Tura_First_Trip_Back_29.jpg,,,"Rengsanggri, Tura, Image 13",Robbins Burling,~1996-1997,Photo of market with table of vegetables,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll015,Rengsanggri_Tura_First_Trip_Back_31.jpg,,,"Rengsanggri, Tura, Image 14",Robbins Burling,~1996-1997,Photo of settlement from roof of building,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
